UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
7fe6d64d-099e-4d49-9880-a63f1640a729,Anabasis.1.en.txt,Orontas,char-offset:45145,PERSON,,,,,,,,,
20b6c726-317d-41f1-ace8-9865aae7e087,Anabasis.1.en.txt,Cyrus,char-offset:45170,PERSON,,,,,,,,Cyrus,
f1fd4248-5b86-4304-a2be-bdd8901e276b,Anabasis.1.en.txt,Orontas,char-offset:45300,PERSON,,,,,,,,,
20540a98-4128-49a9-89de-84a4bebf838b,Anabasis.1.en.txt,Cyrus,char-offset:45319,PERSON,,,,,,,,Cyrus,
b7251e4b-48f0-429c-8900-85a6dee1243f,Anabasis.1.en.txt,Cyrus,char-offset:45454,PERSON,,,,,,,,,
46bc47c4-b323-4afd-b74a-9d987736b48a,Anabasis.1.en.txt,Cyrus,char-offset:45530,PERSON,,,,,,,,Cyrus,
e641abe7-9e52-467c-ae5c-5d2a8ff660cf,Anabasis.1.en.txt,Clearchus,char-offset:45635,PERSON,,,,,,,,,
9bd3cf31-102a-4712-985e-3638b32df467,Anabasis.1.en.txt,Clearchus,char-offset:45722,PERSON,,,,,,,,Clearchus,
eff1af9c-bdca-4994-95ca-24f84814ea1e,Anabasis.1.en.txt,Clearchus,char-offset:45994,PERSON,,,,,,,,Clearchus,
6faf53bd-ba25-43eb-9f07-184eebff36a1,Anabasis.1.en.txt,Cyrus,char-offset:46081,PERSON,,,,,,,,,
5e8e3285-8f2d-4bf6-ad0a-0769ba4cee22,Anabasis.1.en.txt,Orontas,char-offset:46118,PERSON,,,,,,,,,
5c652e91-223e-4738-bcca-8c7e7e8fae5e,Anabasis.1.en.txt,Artapates,char-offset:46484,PERSON,,,,,,,,,
aae37b15-c805-4352-84e5-f98fdcd49b3b,Anabasis.1.en.txt,Cyrus,char-offset:46516,PERSON,,,,,,,,,
f73edfce-242e-4d47-9611-a6118d40c6bf,Anabasis.1.en.txt,Orontas,char-offset:46570,PERSON,,,,,,,,,
cdb4c264-2e7f-4978-99eb-614aa1da92a8,Anabasis.1.en.txt,Cyrus,char-offset:46761,PERSON,,,,,,,,Cyrus,
f0228680-bd60-410c-97f2-94c801fd941d,Anabasis.1.en.txt,King,char-offset:46967,PERSON,,,,,,,,Artaxerxes,Referring to Artaxerxes|Referring to Artaxerxes
eb1788f8-f54c-4874-8db5-cce33e034570,Anabasis.1.en.txt,Clearchus,char-offset:47026,PERSON,,,,,,,,Clearchus,
bf13bac7-d60a-456c-8d05-e6e2cb9c9af8,Anabasis.1.en.txt,Menon,char-offset:47078,PERSON,,,,,,,,Menon,
948088f4-cfbf-45b3-a8b3-d76099288829,Anabasis.1.en.txt,King,char-offset:47231,PERSON,,,,,,,,Artaxerxes,Referring to Artaxerxes|Referring to Artaxerxes
c6965aad-2532-4452-85cd-08904e0e641c,Anabasis.1.en.txt,Cyrus,char-offset:47259,PERSON,,,,,,,,Cyrus,
fdc34bd7-2425-4bc0-bcc7-ded848444386,Anabasis.1.en.txt,Cyrus,char-offset:47295,PERSON,,,,,,,,Cyrus,
4c50d491-b10c-411f-8775-832904cb9293,Anabasis.1.en.txt,Gaulites,char-offset:48602,PERSON,,,,,,,,,
a27f26d4-7f48-442c-aa38-e2abd37b8dd5,Anabasis.1.en.txt,Cyrus,char-offset:48670,PERSON,,,,,,,,,
7392023d-c2c7-404d-a1f0-0f5bef95a3e9,Anabasis.1.en.txt,Cyrus,char-offset:48693,PERSON,,,,,,,,,
bb303248-ce0d-4b83-a1ce-3e642a901952,Anabasis.1.en.txt,Cyrus,char-offset:49052,PERSON,,,,,,,,Cyrus,
a0bfdea0-6d71-41cd-8fb0-b3e19d3bab3f,Anabasis.1.en.txt,Cyrus,char-offset:49837,PERSON,,,,,,,,,
